"","rhs","est"
"295","scc_3",1
"296","scs_1",1
"297","scs_2",1
"298","scs_3",1
"299","sec_1",1
"300","sec_2",1
"301","sec_3",1
"302","sec_4",1
"303","brt_1",1
"304","brt_2",1
"305","brt_3",1
"306","brt_4",1
"307","",0
"308","",0
"309","",0
"310","",0
"311","",0
"312","",0
"313","",0
"314","",0
"315","",0
"316","",0
"317","",0
"318","",0
"319","",0
"320","",0
"321","",0
"322","",0
"323","",0
"324","",0
"325","",0
"326","",0
"327","",0
"328","",0
"329","",0
"330","",0
"331","",0
"332","",0
"333","",0
"334","",0
"335","",0
"336","",0
"337","",0
"338","",0
"339","",0
"340","",0
"341","",0
"342","",0
"343","",0
"344","",0
"345","",0
"346","",0
"347","",0
"348","",0
"349","",0
"350","",0
"351","",0
"352","",0
"353","",0
"354","",0
"355","",0
"356","",0
