survey,omega_total
bat,0.8165077909295935
ppqr_stress,0.7940531604502563
ppqr_attitude,0.79634578321861
ppqr_resources,0.7373350062203017
copsoq_workload,0.798786218802385
copsoq_soc_sup,0.8693246569435772
copsoq_oppor,0.8706889183725206
wlbm,0.9227647814226313
jis,0.8991634869377471
qrp_attitude,0.784613197740971
copsoq_infl,0.8748540542455536
copsoq_meaning,0.904449735142239
role_ambiguity,0.89929737041667
role_conflict,0.7470673118084451
pay_satisfaction,0.9701567812492617
tool_satisfaction,0.7334625007652417
general_satisfaction,0.9384724101560818
